dt,AverageTemperature,Country,,,,,,,
01-09-1916,25.878,India,,,,,,,
01-10-1916,24.091,India,,,,,,,
01-11-1916,19.943,India,,,,,,,
01-12-1916,16.291,India,,,,,,,
01-01-1917,16.729,India,,,,,,,
01-02-1917,19.043,India,,,,,,,
01-03-1917,22.795,India,,,,,,,
01-04-1917,25.902,India,,,,,,,
01-05-1917,27.232,India,,,,,,,
01-06-1917,27.789,India,,,,,,,
01-07-1917,26.52,India,,,,,,,
01-08-1917,26.008,India,,,,,,,
01-09-1917,25.273,India,,,,,,,
01-10-1917,23.534,India,,,,,,,
01-11-1917,19.416,India,,,,,,,
01-12-1917,16.732,India,,,,,,,
01-01-1918,15.769,India,,,,,,,
01-02-1918,19.212,India,,,,,,,
01-03-1918,23.433,India,,,,,,,
01-04-1918,26.317,India,,,,,,,
01-05-1918,29.728,India,,,,,,,
01-06-1918,27.84,India,,,,,,,
01-07-1918,27.898,India,,,,,,,
01-08-1918,26.458,India,,,,,,,
01-09-1918,26.283,India,,,,,,,
01-10-1918,24.618,India,,,,,,,
01-11-1918,20.936,India,,,,,,,
01-12-1918,16.769,India,,,,,,,
01-01-1919,17.379,India,,,,,,,
01-02-1919,19.006,India,,,,,,,
01-03-1919,23.94,India,,,,,,,
01-04-1919,27.028,India,,,,,,,
01-05-1919,29.547,India,,,,,,,
01-06-1919,28.926,India,,,,,,,
01-07-1919,26.703,India,,,,,,,
01-08-1919,26.134,India,,,,,,,
01-09-1919,25.755,India,,,,,,,
01-10-1919,23.997,India,,,,,,,
01-11-1919,20.701,India,,,,,,,
01-12-1919,16.786,India,,,,,,,
01-01-1920,17.183,India,,,,,,,
01-02-1920,19.001,India,,,,,,,
01-03-1920,23.686,India,,,,,,,
01-04-1920,27.039,India,,,,,,,
01-05-1920,28.449,India,,,,,,,
01-06-1920,28.911,India,,,,,,,
01-07-1920,26.793,India,,,,,,,
01-08-1920,26.216,India,,,,,,,
01-09-1920,26.582,India,,,,,,,
01-10-1920,25.084,India,,,,,,,
01-11-1920,21.209,India,,,,,,,
01-12-1920,17.312,India,,,,,,,
01-01-1921,17.406,India,,,,,,,
01-02-1921,19.287,India,,,,,,,
01-03-1921,25.23,India,,,,,,,
01-04-1921,28.546,India,,,,,,,
01-05-1921,31.329,India,,,,,,,
01-06-1921,29.071,India,,,,,,,
01-07-1921,27.418,India,,,,,,,
01-08-1921,25.988,India,,,,,,,
01-09-1921,25.581,India,,,,,,,
01-10-1921,23.597,India,,,,,,,
01-11-1921,19.844,India,,,,,,,
01-12-1921,17.694,India,,,,,,,
01-01-1922,16.714,India,,,,,,,
01-02-1922,19.936,India,,,,,,,
01-03-1922,24.374,India,,,,,,,
01-04-1922,28.05,India,,,,,,,
01-05-1922,30.235,India,,,,,,,
01-06-1922,28.571,India,,,,,,,
01-07-1922,26.724,India,,,,,,,
01-08-1922,26.057,India,,,,,,,
01-09-1922,25.659,India,,,,,,,
01-10-1922,23.727,India,,,,,,,
01-11-1922,20.33,India,,,,,,,
01-12-1922,16.476,India,,,,,,,
01-01-1923,16.819,India,,,,,,,
01-02-1923,18.654,India,,,,,,,
01-03-1923,23.688,India,,,,,,,
01-04-1923,27.823,India,,,,,,,
01-05-1923,29.656,India,,,,,,,
01-06-1923,30.522,India,,,,,,,
01-07-1923,26.731,India,,,,,,,
01-08-1923,25.892,India,,,,,,,
01-09-1923,25.886,India,,,,,,,
01-10-1923,23.607,India,,,,,,,
01-11-1923,20.255,India,,,,,,,
01-12-1923,17.378,India,,,,,,,
01-01-1924,16.724,India,,,,,,,
01-02-1924,19.565,India,,,,,,,
01-03-1924,24.943,India,,,,,,,
01-04-1924,28.324,India,,,,,,,
01-05-1924,29.211,India,,,,,,,
01-06-1924,30.129,India,,,,,,,
01-07-1924,27.041,India,,,,,,,
01-08-1924,26.29,India,,,,,,,
01-09-1924,25.406,India,,,,,,,
01-10-1924,23.917,India,,,,,,,
01-11-1924,19.87,India,,,,,,,
01-12-1924,17.132,India,,,,,,,
01-01-1925,15.629,India,,,,,,,
01-02-1925,18.131,India,,,,,,,
01-03-1925,23.903,India,,,,,,,
01-04-1925,28.372,India,,,,,,,
01-05-1925,29.13,India,,,,,,,
01-06-1925,28.113,India,,,,,,,
01-07-1925,26.223,India,,,,,,,
01-08-1925,26.282,India,,,,,,,
01-09-1925,26.33,India,,,,,,,
01-10-1925,24.584,India,,,,,,,
01-11-1925,20.413,India,,,,,,,
